title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
The Thin Red Line,1964,Andrew Marton,99,103,12,3.2,0,0,2,7,8,22,13,7,1,1
Transport from Paradise,1963,Zbynek Brynych,94,100,11,3.5,0,0,3,3,4,4,19,18,6,3
The Christian Revolt,1962,Nagisa Ōshima,100,101,12,3.3,0,0,0,2,10,15,17,13,0,1
Conflict,1983,Garri Bardin,7,240,39,3.5,0,2,1,3,18,31,28,37,7,10
Time Limit,1957,Karl Malden,96,144,27,3.4,0,0,1,6,5,23,29,23,5,3
Carter's Army,1970,George McCowan,70,107,11,3.0,1,2,4,14,20,16,7,2,0,3
Alvarez Kelly,1966,Edward Dmytryk,106,246,25,3.0,0,1,5,22,35,56,26,10,2,2
The Virgin Soldiers,1969,John Dexter,95,116,13,3.2,0,1,3,12,4,28,10,12,1,0
American Warships,2012,Thunder Levin,90,257,16,2.0,36,42,21,27,12,10,4,3,1,1
The Red Danube,1949,George Sidney,119,105,14,3.2,0,1,3,6,6,14,16,8,0,0
The Silent Village,1943,Humphrey Jennings,36,150,20,3.5,0,0,0,4,5,17,23,20,4,4
The White Ship,1941,Roberto Rossellini,77,150,7,3.0,0,3,1,16,24,28,9,4,1,3
The Diary of Diana B.,2019,Dana Budisavljević,88,250,56,3.6,0,2,6,5,6,27,32,39,12,25
Bravo Two Zero,1999,Tom Clegg,115,342,37,3.1,1,6,2,16,27,57,30,23,0,2
War Hunt,1962,Denis Sanders,83,120,17,3.2,0,0,0,7,8,27,18,4,1,0
The Chinese Widow,2017,Bille August,97,163,24,3.2,0,1,2,18,16,39,23,8,3,6
Sunny,2008,Lee Joon-ik,126,291,12,3.0,0,12,3,32,31,67,33,17,6,4
Raid on Rommel,1971,Henry Hathaway,99,229,20,2.6,4,8,17,37,23,30,14,4,0,1
The Little American,1917,"Cecil B. DeMille,Joseph Levering",63,154,7,3.1,1,3,2,3,20,36,11,6,0,1
The Commander,1988,Antonio Margheriti,105,152,11,2.7,1,5,12,29,20,22,8,3,0,0
The Unforgettable,1967,Yuliya Solntseva,118,90,13,3.5,0,0,0,4,5,6,19,10,4,5
Rescue Under Fire,2017,Adolfo Martínez Pérez,93,231,24,3.0,2,6,4,13,42,58,32,19,0,2
Desire Me,1947,"Mervyn LeRoy,George Cukor,Victor Saville,Jack Conway",91,148,19,3.1,0,6,2,10,12,18,15,12,1,1
José Rizal,1998,Marilou Diaz-Abaya,178,326,56,3.6,1,1,0,3,8,23,42,46,8,16
Zaytoun,2012,Eran Riklis,107,194,20,3.1,0,3,8,12,17,45,20,16,2,6
Resistopia: The Movie,2016,,20,360,92,3.6,0,1,0,3,10,46,34,64,2,16
Beyond Zero: 1914-1918,2014,"Bill Morrison,David Harrington",39,151,39,3.6,1,1,1,4,4,17,15,34,9,10
The Last Blood,1983,Antonio Margheriti,93,117,17,3.1,1,0,5,9,14,21,14,3,0,1
Area 88,1985,Hisayuki Toriumi,201,251,52,3.6,1,2,0,4,6,18,29,58,10,7
Seas Beneath,1931,John Ford,90,174,17,3.1,0,1,4,16,9,32,24,6,0,5
Francis,1950,Arthur Lubin,91,272,33,3.0,0,4,3,18,27,53,18,8,1,2
Julius Caesar,2002,Uli Edel,180,295,34,3.1,1,6,6,22,27,51,33,15,2,9
Ekhrajiha 1,2007,Masoud Dehnamaki,104,662,31,1.9,81,63,31,52,29,35,9,7,2,5
Michael the Brave,1971,Sergiu Nicolaescu,203,133,13,3.5,0,1,0,1,4,17,14,13,10,5
The Fall of Troy,1911,"Luigi Romano Borgnetto,Giovanni Pastrone",31,182,13,3.1,2,2,3,8,16,39,21,17,1,1
Kolberg,1945,Veit Harlan,110,184,13,2.8,4,10,11,21,10,17,14,7,4,1
The Long Day's Dying,1968,Peter Collinson,95,51,11,3.4,0,0,0,2,7,3,6,5,1,3
The Enemy,2011,Dejan Zečević,108,247,30,3.5,0,1,2,7,14,19,36,39,19,9
Von Richthofen and Brown,1971,Roger Corman,97,195,23,3.1,0,1,4,12,21,51,15,8,1,3
How to Operate Behind Enemy Lines,1943,John Ford,62,207,18,3.0,0,3,5,11,32,48,22,6,1,2
Malta Story,1953,Brian Desmond Hurst,97,221,21,3.1,0,0,5,13,26,49,28,5,1,1
DC Showcase: Sgt. Rock,2019,Bruce Timm,14,184,42,3.3,1,1,0,10,8,45,34,31,3,3
They Met in Bombay,1941,Clarence Brown,92,195,26,3.0,0,2,5,18,20,38,19,12,1,0
The Lighthorsemen,1987,Simon Wincer,131,194,30,3.3,1,2,1,6,13,39,30,14,5,5
The Flight,1970,"Aleksandr Alov,Vladimir Naumov",196,118,9,3.5,0,1,2,3,2,8,6,15,9,5
The Chess Player,1927,Raymond Bernard,135,90,18,3.5,0,0,0,1,2,5,12,13,4,2
A Time Out of War,1954,Denis Sanders,22,69,10,3.3,0,1,1,3,5,10,14,4,5,0
So Ends Our Night,1941,John Cromwell,117,81,13,3.3,0,1,2,2,4,16,10,12,2,1
The Crossing,2000,Robert Harmon,89,279,33,3.1,0,6,7,15,24,55,30,18,2,4
Doughboys,1930,Edward Sedgwick,79,188,20,3.0,0,4,6,16,23,27,15,8,2,0
Miss Evers' Boys,1997,Joseph Sargent,118,281,26,3.3,0,2,2,8,16,55,28,28,4,5
Now Where Did the Seventh Company Get to?,1973,Robert Lamoureux,95,498,77,3.5,2,6,4,5,12,40,54,56,10,24
Another Mother's Son,2017,Christopher Menaul,98,205,27,3.3,0,1,2,14,16,45,28,35,5,2
Sign of the Pagan,1954,Douglas Sirk,92,169,18,3.1,1,2,3,9,16,26,7,11,0,5
Viet Flakes,1965,Carolee Schneemann,8,200,21,3.3,0,1,0,7,8,17,10,10,5,3
Frieda,1947,Basil Dearden,98,114,19,3.4,0,0,2,3,4,20,22,15,5,1
Sharpe's Company,1994,Tom Clegg,100,442,65,3.5,0,1,2,3,10,48,54,47,5,14
Operation Mad Ball,1957,Richard Quine,105,166,32,3.1,0,2,2,13,20,31,17,10,2,1
Massacre in Rome,1973,George P. Cosmatos,99,167,14,3.1,1,1,2,8,25,37,18,10,1,3
Scream for Me Sarajevo,2017,Tarik Hodžić,95,201,59,3.8,0,0,1,1,3,18,30,49,19,30
Hell to Eternity,1960,Phil Karlson,131,163,32,3.3,0,1,0,5,7,39,33,16,2,1
The Angry Hills,1959,Robert Aldrich,105,159,18,3.0,0,1,6,13,23,37,12,7,0,0
Take the High Ground!,1953,Richard Brooks,101,120,15,3.0,0,3,2,11,14,28,10,2,0,1
The Seven Days,2008,"Ronit Elkabetz,Shlomi Elkabetz",103,164,19,3.3,2,2,2,5,10,8,16,17,4,4
The Fighting Lady,1944,Edward Steichen,61,64,11,3.4,1,1,0,3,2,11,9,13,3,1
The Hunters of the Golden Cobra,1982,Antonio Margheriti,95,128,19,3.0,0,2,5,14,19,23,12,4,0,2
Under the Bombs,2007,Philippe Aractingi,98,213,23,3.3,0,3,3,6,18,22,32,32,9,2
