title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
One of Our Aircraft Is Missing,1942,"Emeric Pressburger,Michael Powell",102,725,100,3.4,0,0,1,15,43,136,125,101,17,16
Saints and Soldiers,2003,Ryan Little,90,1849,167,3.1,11,20,32,91,149,328,190,163,24,23
Yossi & Jagger,2002,Eytan Fox,65,1249,154,3.2,7,17,19,58,68,179,142,119,23,20
The Beast of War,1988,Kevin Reynolds,111,1007,192,3.5,2,5,10,16,44,138,153,173,49,28
Decision Before Dawn,1951,Anatole Litvak,119,471,72,3.5,0,1,2,14,22,71,89,78,22,13
Alexandra,2007,Aleksandr Sokurov,95,859,99,3.4,3,5,6,27,48,104,138,117,28,11
Ernie Pyle's Story of G.I. Joe,1945,William A. Wellman,108,721,120,3.4,1,4,6,18,31,105,125,99,23,19
The Cardinal,1963,Otto Preminger,175,594,66,3.3,0,6,4,24,50,90,66,70,20,20
Friend,2015,Jamie Donoughue,21,1213,144,3.4,6,9,13,48,76,177,168,176,80,47
"Ilsa, Harem Keeper of the Oil Sheiks",1976,Don Edmonds,94,1037,116,2.6,17,52,45,105,119,120,66,46,9,12
Halo: Legends,2010,,120,2054,296,2.9,14,36,46,162,180,354,182,133,22,32
Men in War,1957,Anthony Mann,102,835,180,3.6,0,1,4,17,22,88,137,189,45,29
The Charge of the Light Brigade,1936,Michael Curtiz,115,1029,126,3.2,4,12,5,28,61,171,142,75,16,15
In the Land of Blood and Honey,2011,Angelina Jolie,127,1242,108,2.8,32,31,37,104,122,163,90,85,16,30
Moloch,1999,Aleksandr Sokurov,108,969,128,3.5,0,6,8,36,37,115,130,156,50,32
Destination Tokyo,1943,Delmer Daves,135,999,151,3.3,1,7,13,34,42,163,145,83,14,18
Train of Life,1998,Radu Mihăileanu,103,1550,296,3.7,4,2,9,18,35,136,205,288,109,96
The Lady and the Duke,2001,Éric Rohmer,129,901,110,3.5,1,9,4,24,33,105,108,116,42,33
The Night of the Generals,1967,Anatole Litvak,148,1159,166,3.3,2,6,10,39,73,178,196,161,30,23
Emperor,2012,Peter Webber,105,1417,129,2.8,6,31,40,173,189,278,114,78,14,11
The War,1994,Jon Avnet,126,2719,282,3.1,3,13,33,118,187,365,259,147,36,48
The Keeper,2018,Marcus H. Rosenmüller,114,1112,190,3.3,5,9,11,48,97,251,232,170,35,41
The Resistance Banker,2018,Joram Lürsen,124,1401,169,3.1,1,13,24,105,139,293,239,143,16,33
"No, or the Vain Glory of Command",1990,Manoel de Oliveira,110,663,158,3.8,1,2,2,12,17,64,56,124,58,67
1969,1988,Ernest Thompson,95,1266,136,2.7,7,23,36,113,125,153,48,46,3,15
Play Dirty,1969,André De Toth,118,844,192,3.5,0,1,4,14,31,125,143,146,40,27
Under the Flag of the Rising Sun,1972,Kinji Fukasaku,96,490,120,4.0,0,0,1,5,5,13,62,112,70,43
Who'll Stop the Rain,1978,Karel Reisz,126,758,152,3.4,1,0,2,23,38,114,121,89,27,7
C.S.A.: The Confederate States of America,2004,Kevin Willmott,89,1560,194,3.1,5,25,28,101,118,282,202,109,31,25
A Screaming Man,2010,Mahamat-Saleh Haroun,92,791,88,3.4,0,3,6,26,37,126,127,118,20,11
Is Paris Burning?,1966,René Clément,175,824,85,3.2,6,4,7,43,49,116,102,70,15,13
Oh! What a Lovely War,1969,Richard Attenborough,138,882,137,3.5,2,3,4,29,45,94,127,113,27,36
Trial on the Road,1971,Aleksey German,96,825,186,3.9,1,1,3,5,8,55,114,207,83,56
Children of Hiroshima,1952,Kaneto Shindō,97,568,116,3.7,0,1,1,6,7,51,82,132,32,22
Mobile Suit Gundam I,1981,"Yoshiyuki Tomino,Ryôji Fujiwara",148,1660,348,3.5,2,6,11,32,53,239,306,259,36,52
Innocent Voices,2004,Luis Mandoki,120,1653,308,3.6,1,9,12,43,44,146,230,306,75,95
Images of the World and the Inscription of War,1989,Harun Farocki,75,652,181,3.9,0,1,3,9,9,34,51,111,75,64
All Things Fair,1995,Bo Widerberg,130,1037,121,3.3,1,6,9,49,42,208,150,130,30,27
The Red Badge of Courage,1951,John Huston,69,1153,161,3.4,1,5,7,28,53,184,179,137,30,19
Across the Pacific,1942,John Huston,97,1285,181,3.2,0,2,4,57,99,267,220,92,8,10
Adelheid,1970,František Vláčil,99,686,131,3.7,0,1,3,6,14,62,89,145,60,24
All Quiet on the Western Front,1979,Delbert Mann,150,2148,238,3.3,2,15,13,88,102,354,296,196,41,41
Hell Is for Heroes,1962,Don Siegel,90,1228,226,3.4,2,4,6,24,45,214,244,177,27,16
All Through the Night,1942,Vincent Sherman,107,1133,221,3.3,2,2,4,30,71,201,210,134,22,23
Hill 24 Doesn't Answer,1955,Thorold Dickinson,101,325,17,2.9,1,8,13,19,38,66,27,5,2,0
Sunflower,1970,Vittorio De Sica,109,1207,197,3.6,1,1,4,16,32,141,186,205,67,49
Tea with Mussolini,1999,Franco Zeffirelli,117,1972,247,3.2,6,17,29,80,99,298,187,133,27,75
Winter in Wartime,2008,Martin Koolhoven,103,2015,168,3.3,3,9,17,55,92,291,315,200,34,31
Stalingrad,2013,Fyodor Bondarchuk,131,1670,136,2.6,43,64,79,209,182,244,100,74,24,18
Wolf Warrior,2015,Wu Jing,90,1363,112,2.5,28,69,86,208,218,234,71,26,8,10
In Syria,2017,Philippe Van Leeuw,85,1214,219,3.5,3,5,7,33,50,188,254,265,56,43
Nation's Pride,2009,Eli Roth,6,2689,324,3.3,8,9,9,52,87,376,225,198,20,52
Coup de Grâce,1976,Volker Schlöndorff,95,533,98,3.5,1,2,3,15,22,74,87,84,22,16
Invincible,2001,Werner Herzog,133,1346,151,3.1,5,16,20,75,105,234,158,122,25,20
The Lives of a Bengal Lancer,1935,Henry Hathaway,109,704,92,3.2,2,4,12,41,45,116,99,61,15,13
A Midnight Clear,1992,Keith Gordon,108,1336,244,3.5,4,1,4,35,54,172,206,188,52,36
The Load,2018,Ognjen Glavonić,96,923,159,3.4,2,8,13,33,55,189,175,122,36,36
Uncommon Valor,1983,Ted Kotcheff,105,1812,245,3.0,3,25,24,108,141,343,165,113,14,25
King of Hearts,1966,Philippe de Broca,102,984,206,3.6,0,7,7,26,43,109,140,143,59,55
When the Tenth Month Comes,1984,Dang Nhat Minh,86,467,133,3.9,0,2,0,8,4,20,49,83,43,49
Beau Geste,1939,William A. Wellman,112,1268,210,3.5,1,5,6,24,38,158,188,207,44,34
Goyo: The Boy General,2018,Jerrold Tarog,155,1494,324,3.5,0,4,12,32,60,238,277,276,67,72
Robowar,1988,Bruno Mattei,92,996,233,2.7,21,45,51,117,116,180,94,68,5,18
The Great Battle,2018,Kim Kwang-sik,135,1415,214,3.1,10,17,32,94,140,306,318,138,32,30
Gods and Generals,2003,Ronald F. Maxwell,214,2140,201,2.8,43,64,61,186,173,295,159,120,32,35
Sandra,1965,Luchino Visconti,105,1022,166,3.6,1,7,1,20,35,134,184,175,57,48
Blackboards,2000,Samira Makhmalbaf,85,901,137,3.4,6,3,6,24,31,111,115,138,28,26
The Front Line,2011,Jang Hoon,133,1404,178,3.4,2,10,13,53,63,214,260,264,58,34
The Lost Patrol,1934,John Ford,73,1322,179,3.3,1,5,8,45,64,255,214,151,37,23
Ice Cold in Alex,1958,J. Lee Thompson,125,1138,249,3.8,0,1,0,7,20,96,142,275,82,63
Joan of Arc,1948,Victor Fleming,145,1015,107,3.1,1,9,13,56,74,173,85,57,7,15
Battle for Sevastopol,2015,Sergey Mokritsky,110,1583,271,3.3,5,17,20,70,105,258,267,209,50,73
This Land Is Mine,1943,Jean Renoir,103,1034,171,3.6,0,1,3,19,23,128,213,174,59,33
The Spy in Black,1939,Michael Powell,82,1193,217,3.4,1,3,2,20,57,233,267,157,34,12
Fixed Bayonets!,1951,Samuel Fuller,92,1088,245,3.6,1,3,1,13,37,133,182,224,46,27
Uri: The Surgical Strike,2019,Aditya Dhar,138,1894,397,3.3,22,27,35,97,127,311,340,314,61,83
The Man Who Cried,2000,Sally Potter,96,2509,164,2.7,21,56,67,203,190,249,119,90,18,27
Operation Red Sea,2018,Dante Lam,142,1348,196,3.0,21,40,38,107,134,252,246,159,33,22
Into the White,2012,Petter Næss,100,1904,261,3.4,4,10,10,60,85,316,344,233,48,50
Unknown Soldier,2017,Aku Louhimies,179,1462,296,3.6,2,9,11,43,40,200,246,317,115,91
Joan of Arc,2019,Bruno Dumont,137,772,134,3.1,14,24,15,63,55,124,110,91,28,27
Kippur,2000,Amos Gitai,117,543,44,3.2,4,9,10,22,31,74,72,50,9,6
Charlotte Gray,2001,Gillian Armstrong,121,2162,180,3.0,2,14,23,137,183,337,180,117,17,37
Enigma,2001,Michael Apted,119,2865,178,2.9,9,19,36,196,225,471,244,138,13,17
Danger Close,2019,Kriv Stenders,119,1310,240,3.2,8,15,16,77,154,307,255,166,37,31
The Search,1948,Fred Zinnemann,104,1025,209,3.7,2,1,4,14,35,107,171,206,70,45
Battle of the Bulge,1965,Ken Annakin,167,2074,295,3.2,1,15,27,89,154,360,256,173,34,36
Macross: Do You Remember Love?,1984,"Shoji Kawamori,Noboru Ishiguro",114,1597,402,3.7,4,8,9,34,60,124,181,267,120,135
A Better Tomorrow III: Love and Death in Saigon,1989,Tsui Hark,114,1360,208,3.2,7,15,19,91,107,208,138,157,40,47
The Enemy Below,1957,Dick Powell,97,1533,271,3.5,2,4,5,27,62,245,302,268,50,28
A Short Vision,1956,"Peter Foldès,Joan Foldes",6,1611,404,3.6,1,4,8,25,40,171,235,247,62,55
The Wild Geese,1978,Andrew V. McLaglen,134,2074,303,3.2,6,19,20,83,142,362,254,180,39,41
Utu,1984,Geoff Murphy,118,625,113,3.5,0,6,1,16,28,67,79,84,28,21
Under Fire,1983,Roger Spottiswoode,128,1549,211,3.3,1,4,13,48,75,257,261,170,30,20
Days of Glory,2006,Rachid Bouchareb,128,2111,222,3.4,2,11,12,57,80,340,297,257,37,39
Attack,1956,Robert Aldrich,107,1116,217,3.6,1,7,5,15,31,114,222,234,76,32
Midway,1976,Jack Smight,132,2436,297,3.1,7,16,38,127,179,462,235,171,29,50
Why We Fight: Prelude to War,1942,"Frank Capra,Anatole Litvak",53,1620,162,3.2,4,13,15,51,100,305,174,144,19,20
Brothers,2004,Susanne Bier,117,1858,205,3.5,1,8,7,50,51,225,281,352,73,44
Nicholas and Alexandra,1971,Franklin J. Schaffner,189,1107,136,3.2,6,9,19,52,58,161,165,122,33,19
Wooden Crosses,1932,Raymond Bernard,110,767,166,3.9,1,1,0,9,8,61,88,184,87,60
Invisible Agent,1942,Edwin L. Marin,81,1063,175,2.9,4,11,29,99,144,260,111,56,9,12
The Young Lions,1958,Edward Dmytryk,167,1421,214,3.4,2,4,10,39,63,205,230,182,36,27
Stop-Loss,2008,Kimberly Peirce,113,3096,173,2.8,12,38,72,241,287,496,243,133,14,14
The King's Choice,2016,Erik Poppe,133,1932,256,3.4,7,9,12,63,133,318,319,306,58,46
Went the Day Well?,1942,Alberto Cavalcanti,88,1288,274,3.7,1,5,3,22,32,156,200,253,90,60
They Died with Their Boots On,1941,Raoul Walsh,140,1539,233,3.5,3,7,6,43,58,183,198,175,68,59
A Bag of Marbles,2017,Christian Duguay,110,1921,424,3.7,2,7,14,31,72,256,313,370,101,148
The Patience Stone,2012,Atiq Rahimi,102,1501,283,3.5,11,15,10,47,69,159,196,277,75,89
Deathwatch,2002,M.J. Bassett,94,2122,208,2.8,7,36,52,206,225,355,191,108,14,20
Sands of Iwo Jima,1949,Allan Dwan,100,2133,288,3.3,6,8,18,85,142,313,273,194,51,43
Christ Stopped at Eboli,1979,Francesco Rosi,220,752,124,3.7,2,3,3,16,23,61,100,154,42,40
Beyond Borders,2003,Martin Campbell,127,3855,325,2.9,29,72,88,248,217,477,239,216,41,84
Kapo,1960,Gillo Pontecorvo,120,829,145,3.6,4,6,5,26,14,79,122,175,51,27
The X from Outer Space,1967,Kazui Nihonmatsu,89,1333,240,2.7,9,42,66,170,186,241,106,50,5,13
The Last Legion,2007,Doug Lefler,102,3920,176,2.3,100,189,232,460,406,369,119,61,9,19
The Horse Soldiers,1959,John Ford,115,2003,306,3.4,1,6,10,52,94,323,325,250,71,39
Since You Went Away,1944,"David O. Selznick,Edward F. Cline,John Cromwell,Tay Garnett",172,955,162,3.5,0,5,9,27,38,119,138,135,50,38
Iron Eagle,1986,Sidney J. Furie,117,3788,381,2.6,34,116,112,320,314,492,166,100,15,34
"Heaven Knows, Mr. Allison",1957,John Huston,108,1920,344,3.5,0,6,5,34,51,302,320,291,54,48
The Four Horsemen of the Apocalypse,1921,Rex Ingram,132,822,104,3.4,1,3,5,31,45,109,112,97,36,25
Red Scorpion,1987,Joseph Zito,105,2859,286,2.7,12,89,98,289,255,414,181,84,21,23
The Grey Zone,2001,Tim Blake Nelson,108,1554,166,3.4,6,7,15,66,92,224,220,189,59,59
The Dam Busters,1955,Michael Anderson,124,2063,350,3.6,5,11,4,36,42,246,309,347,75,69
Welcome to Dongmakgol,2005,Bae Jong,133,2255,307,3.5,9,13,18,62,96,297,351,397,144,74
Heaven & Earth,1993,Oliver Stone,140,2691,270,3.1,9,18,28,168,217,440,320,199,68,45
The Master: Back Beyond,2013,Paul Thomas Anderson,20,2199,606,4.0,1,2,4,9,31,78,121,293,117,199
Sahara,1943,Zoltan Korda,97,1846,340,3.6,0,4,2,21,50,245,342,305,72,53
Mohawk,2017,Ted Geoghegan,92,1527,194,2.6,35,108,97,207,250,312,142,73,11,12
General Idi Amin Dada,1974,Barbet Schroeder,90,1381,232,3.6,0,2,3,15,39,190,214,255,42,51
Firebase,2017,Neill Blomkamp,27,2485,496,3.3,4,19,40,108,177,435,419,323,65,64
The Great War,1959,Mario Monicelli,137,1380,324,4.0,1,1,4,8,12,62,97,324,152,143
Ship of Fools,1965,Stanley Kramer,149,1197,151,3.2,2,14,13,57,90,203,156,113,32,27
Donbass,2018,Sergey Loznitsa,122,1515,223,3.3,8,18,26,67,109,230,276,261,66,33
Force 10 from Navarone,1978,Guy Hamilton,118,3193,430,3.1,6,19,33,193,239,570,332,214,31,36
The Battle of Midway,1942,John Ford,18,2588,287,3.1,11,22,34,127,183,519,222,194,18,52
Katyn,2007,Andrzej Wajda,122,2150,202,3.3,4,11,24,87,123,308,303,283,66,50
Hangmen Also Die!,1943,Fritz Lang,134,1939,342,3.6,1,5,8,25,74,226,357,348,110,76
Westfront 1918,1930,G.W. Pabst,97,1100,226,3.7,0,2,5,12,35,140,176,228,73,48
In Darkness,2011,Agnieszka Holland,145,1812,227,3.5,2,7,6,51,86,248,319,301,78,56
"Run Silent, Run Deep",1958,Robert Wise,93,2003,370,3.5,1,2,2,31,61,284,382,387,55,34
Twice Born,2012,Sergio Castellitto,127,2696,541,3.5,12,28,39,93,87,226,288,344,102,197
Heneral Luna,2015,Jerrold Tarog,118,2323,642,3.9,5,9,13,37,46,144,228,457,191,265
Battleground,1949,William A. Wellman,118,1237,227,3.6,1,5,11,23,58,138,183,240,70,50
"Je vous salue, Sarajevo",1993,Jean-Luc Godard,2,2902,702,4.0,5,10,7,30,37,163,193,351,193,324
Olga,2004,Jayme Monjardim,141,5112,443,3.4,39,86,51,160,144,442,359,483,116,255
Fires Were Started,1943,Humphrey Jennings,70,990,79,3.2,4,7,16,35,59,163,102,83,16,15
Level Five,1997,Chris Marker,106,1251,312,3.7,6,10,11,17,33,106,145,210,90,89
Far from Men,2014,David Oelhoffen,110,1853,353,3.5,3,9,5,42,78,235,377,366,97,53
Ethel & Ernest,2016,Roger Mainwood,94,1627,430,3.8,0,2,6,30,51,169,276,386,140,137
Waterloo,1970,Sergey Bondarchuk,128,1834,384,3.6,2,4,7,57,60,249,318,315,108,105
The Russians Are Coming! The Russians Are Coming!,1966,Norman Jewison,126,2030,311,3.3,2,13,22,83,112,306,317,214,60,41
Les Carabiniers,1963,Jean-Luc Godard,76,2246,251,3.3,4,18,21,74,115,315,304,245,71,47
Don't Look Now: We're Being Shot At,1966,Gérard Oury,132,3236,614,3.8,2,10,14,42,66,241,384,548,157,212
The Four Feathers,1939,Zoltan Korda,129,1581,240,3.5,4,4,11,39,67,203,223,236,51,57
Armadillo,2010,Janus Metz Pedersen,105,2407,243,3.6,3,4,5,34,58,281,346,511,95,58
The Sky Crawlers,2008,Mamoru Oshii,121,2334,351,3.3,11,19,42,91,137,263,273,247,95,72
The Fall of the Roman Empire,1964,Anthony Mann,188,1737,199,3.3,3,7,20,71,98,261,211,205,37,29
Major Dundee,1965,Sam Peckinpah,123,2150,332,3.3,3,6,13,71,147,408,379,224,52,29
General Della Rovere,1959,Roberto Rossellini,132,1145,191,3.8,0,0,1,8,16,84,171,270,100,46
The Alamo,2004,John Lee Hancock,137,4865,325,2.6,32,116,159,518,515,636,232,169,24,24
Drums Along the Mohawk,1939,John Ford,100,2192,316,3.4,3,18,18,60,108,340,343,319,69,37
That Hamilton Woman,1941,Alexander Korda,128,1594,246,3.4,0,10,8,42,73,207,228,184,53,34
Mediterraneo,1991,Gabriele Salvatores,96,3005,556,3.6,5,10,10,46,107,301,459,515,134,142
Dark of the Sun,1968,Jack Cardiff,100,1167,343,3.6,0,5,3,17,40,134,197,261,70,49
Buffalo Soldiers,2001,Gregor Jordan,98,3759,380,3.1,7,27,48,179,265,702,486,306,48,32
Let There Be Light,1946,John Huston,58,2017,396,3.7,3,3,2,24,41,198,277,385,95,95
Burn!,1969,Gillo Pontecorvo,129,1568,295,3.6,0,7,3,38,58,196,241,270,81,59
Sarah's Key,2010,Gilles Paquet-Brenner,111,3781,470,3.4,6,24,26,104,135,479,499,522,89,135
Miracle at St. Anna,2008,Spike Lee,160,3595,264,2.7,46,113,136,391,353,466,227,198,32,41
Bitter Victory,1957,Nicholas Ray,102,1479,301,3.7,0,5,4,35,43,140,207,223,111,115
Wolf Warrior 2,2017,Wu Jing,126,2071,258,2.7,58,102,120,208,248,370,255,148,16,23
Hôtel Terminus: The Life and Times of Klaus Barbie,1988,Marcel Ophüls,267,736,115,3.7,0,6,4,11,23,55,80,113,48,51
I Accuse,1919,Abel Gance,165,1056,237,3.9,2,0,2,8,17,57,108,218,105,96
Exodus,1960,Otto Preminger,208,2042,239,3.2,10,16,11,81,134,349,248,171,36,40
A Soldier's Story,1984,Norman Jewison,101,2176,332,3.4,2,5,9,38,89,331,350,295,64,43
San Pietro,1945,John Huston,40,1754,143,3.1,6,14,7,57,137,308,186,122,22,25
Essential Killing,2010,Jerzy Skolimowski,84,2441,288,3.2,20,27,32,131,156,376,352,310,64,36
Battle of Britain,1969,Guy Hamilton,132,3133,456,3.3,1,11,23,120,210,485,409,409,73,74
Five Graves to Cairo,1943,Billy Wilder,96,1959,303,3.5,4,4,6,34,61,282,373,329,88,49
Man Hunt,1941,Fritz Lang,102,2218,346,3.4,0,6,12,36,113,345,409,339,78,41
The Catcher Was a Spy,2018,Ben Lewin,98,2022,208,2.6,11,67,121,298,335,417,147,88,11,13
Little Boy,2015,Alejandro Monteverde,106,3197,476,3.2,50,76,87,205,190,438,347,342,98,167
Girls of the Sun,2018,Eva Husson,120,1086,194,3.2,12,22,32,80,73,167,164,146,47,59
A Time for Drunken Horses,2000,Bahman Ghobadi,80,2345,495,3.8,4,12,3,25,51,201,302,485,169,167
Bajirao Mastani,2015,Sanjay Leela Bhansali,158,3941,734,3.4,19,38,35,147,185,514,502,456,130,209
Friendly Persuasion,1956,William Wyler,137,1785,244,3.3,2,9,17,55,125,272,264,216,44,46
Far from Vietnam,1967,"Jean-Luc Godard,Agnès Varda,Chris Marker,Alain Resnais,Claude Lelouch,William Klein,Joris Ivens",115,1241,260,3.8,1,4,5,18,25,93,161,219,80,80
The Eagle Has Landed,1976,John Sturges,135,3561,488,3.3,2,13,20,102,197,634,532,361,44,49
Redacted,2007,Brian De Palma,90,2717,270,3.0,45,68,76,212,207,355,261,282,76,73
Lebanon,2009,Samuel Maoz,93,2503,322,3.4,12,17,28,83,105,345,414,436,118,66
South Pacific,1958,Joshua Logan,157,3665,400,3.0,12,48,64,196,197,462,275,217,58,64
For Whom the Bell Tolls,1943,Sam Wood,170,2105,216,3.1,3,31,32,94,144,334,262,176,32,16
Cleopatra,1934,Cecil B. DeMille,100,1773,221,3.3,4,12,16,64,93,272,252,185,40,31
Journey's End,2017,Saul Dibb,108,3063,584,3.5,7,17,20,118,173,524,668,641,141,99
Archangel,1990,Guy Maddin,82,1244,218,3.4,2,14,16,33,73,145,181,153,44,34
A Time to Love and a Time to Die,1958,Douglas Sirk,132,1613,361,3.9,1,1,4,17,33,112,197,360,153,122
The 12th Man,2017,Harald Zwart,136,2941,547,3.5,1,14,29,84,136,452,630,561,119,122
Hell's Angels,1930,"James Whale,Howard Hughes,Edmund Goulding",131,1479,230,3.4,1,9,11,49,61,215,223,180,49,41
Red Cliff Part II,2009,John Woo,136,3816,663,3.7,5,11,16,79,129,394,475,675,246,190
Ayla: The Daughter of War,2017,Can Ulkay,125,6075,860,3.5,60,93,73,214,229,454,431,567,186,600
The Admiral: Roaring Currents,2014,Kim Han-min,126,3284,472,3.2,39,47,78,193,246,519,504,432,111,112
Shoulder Arms,1918,Charlie Chaplin,45,3154,529,3.5,4,2,10,50,92,387,534,476,100,100
The Man with the Iron Heart,2017,Cédric Jimenez,120,2549,277,3.0,7,24,56,187,297,641,304,190,25,45
Storm Over Asia,1928,Vsevolod Pudovkin,127,1131,125,3.5,3,7,15,24,41,125,156,145,58,28
War Witch,2012,Kim Nguyen,90,2550,371,3.5,4,6,12,47,112,340,443,437,120,67
Passenger,1963,"Andrzej Munk,Witold Lesiewicz",62,1113,207,3.7,0,2,3,10,22,77,153,237,77,40
Arsenal,1929,Alexander Dovzhenko,87,1609,274,3.7,0,3,5,24,45,158,220,266,107,92
Hell in the Pacific,1968,John Boorman,103,2350,532,3.6,1,1,7,38,52,252,404,493,129,60
The Final Countdown,1980,Don Taylor,103,4300,541,3.0,9,40,70,284,383,871,419,234,38,42
Red Psalm,1972,Miklós Jancsó,87,1305,237,3.6,4,8,14,38,41,132,140,208,75,70
Hail the Conquering Hero,1944,Preston Sturges,101,2148,501,3.8,1,4,3,20,50,151,281,426,196,123
The Sand Pebbles,1966,Robert Wise,182,2397,399,3.5,3,12,17,55,95,289,349,423,130,75
The Night of the Shooting Stars,1982,"Paolo Taviani,Vittorio Taviani",105,1584,256,3.6,2,8,9,32,52,169,233,292,93,62
Overlord,1975,Stuart Cooper,83,1899,361,3.6,3,6,9,38,75,253,317,372,105,67
Missing in Action,1984,Joseph Zito,101,5057,455,2.6,42,138,137,501,554,729,273,141,23,41
The Small Back Room,1949,"Emeric Pressburger,Michael Powell",106,2195,395,3.6,1,3,7,38,64,291,426,431,105,48
The Round-Up,1966,Miklós Jancsó,87,1605,288,3.9,1,2,4,13,31,103,171,319,138,113
Hart's War,2002,Gregory Hoblit,125,7638,453,2.8,19,109,135,627,681,1089,528,262,39,31
Men Behind the Sun,1988,Mou Tun-fei,105,2392,256,2.9,42,65,58,174,197,358,209,181,39,36
A Generation,1955,Andrzej Wajda,87,1752,285,3.5,1,3,2,32,52,226,326,325,64,37
In Which We Serve,1942,"David Lean,Noël Coward",115,1910,281,3.4,2,10,16,52,83,285,312,282,54,51
Ilsa: She Wolf of the SS,1975,Don Edmonds,96,3444,389,2.6,84,160,148,278,273,390,198,192,49,58
Land and Freedom,1995,Ken Loach,109,2914,600,3.7,7,7,16,37,68,264,393,551,228,179
Flyboys,2006,Tony Bill,138,7468,566,2.8,47,137,194,628,597,1057,421,280,52,76
Flame & Citron,2008,Ole Christian Madsen,130,3927,555,3.5,3,22,14,87,141,471,592,563,126,80
The Inglorious Bastards,1978,Enzo G. Castellari,99,3437,481,3.2,7,36,32,136,182,569,439,323,71,84
Black Rain,1989,Shōhei Imamura,123,1773,335,3.9,1,3,4,13,28,101,173,380,183,93
They Were Expendable,1945,John Ford,135,2647,451,3.6,4,7,16,62,91,316,345,398,150,94
Where Hands Touch,2018,Amma Asante,122,2724,300,2.3,373,202,136,232,171,305,150,160,48,88
The Long Voyage Home,1940,John Ford,105,2151,432,3.6,2,10,8,43,78,240,300,363,136,114
The Fifth Seal,1976,Zoltán Fábri,106,1395,464,4.2,0,5,2,9,16,58,94,231,223,292
Twelve O'Clock High,1949,Henry King,132,2631,441,3.6,4,11,14,50,96,277,370,469,163,113
Rock the Kasbah,2015,Barry Levinson,100,3861,241,2.3,98,280,269,617,503,475,176,88,12,15
Devils on the Doorstep,2000,Jiang Wen,139,1585,425,4.1,4,3,4,12,13,63,127,321,249,223
While at War,2019,Alejandro Amenábar,108,3701,685,3.4,12,24,53,175,265,688,766,644,151,112
Tigerland,2000,Joel Schumacher,101,5913,611,3.3,5,30,37,187,297,999,900,591,100,65
Mister Roberts,1955,"John Ford,Mervyn LeRoy,Joshua Logan",123,3380,641,3.6,1,13,24,69,114,389,474,520,155,155
Shock Waves,1977,Ken Wiederhorn,85,3044,522,2.9,18,60,104,289,318,540,315,203,25,41
Red Tails,2012,Anthony Hemingway,125,5927,460,2.5,105,273,308,738,655,751,284,214,29,52
Hamburger Hill,1987,John Irvin,112,5369,658,3.2,9,17,40,214,346,997,689,450,84,80
Escape to Victory,1981,John Huston,116,6513,940,3.2,6,30,59,308,477,1188,802,546,71,93
City of Life and Death,2009,Lu Chuan,132,2586,501,3.9,5,10,11,49,39,167,291,567,294,209
Gettysburg,1993,Ronald F. Maxwell,254,5393,821,3.5,5,29,29,161,193,592,636,735,200,240
Rules of Engagement,2000,William Friedkin,128,9611,592,2.8,45,102,159,582,748,1501,605,320,43,36
Thank You for Your Service,2017,Jason Hall,109,4008,583,3.2,10,36,33,190,358,939,717,418,88,70
49th Parallel,1941,Michael Powell,123,2811,487,3.6,3,4,10,46,91,328,480,483,159,74
The Devil's Double,2011,Lee Tamahori,109,6774,722,3.1,27,68,107,357,518,1072,990,574,87,88
The Last Command,1928,Josef von Sternberg,88,2241,528,3.9,1,2,8,15,35,138,250,488,250,190
"La Commune (Paris, 1871)",2000,Peter Watkins,345,1098,344,4.2,2,4,5,10,15,41,61,130,132,225
Before the Rain,1994,Milcho Manchevski,113,2976,622,3.8,3,14,14,58,84,255,345,539,241,242
Hope and Glory,1987,John Boorman,113,3699,611,3.6,7,15,20,76,100,397,519,633,159,124
Hanagatami,2017,Nobuhiko Ōbayashi,168,1169,378,3.8,4,2,5,18,48,91,144,225,121,144
Sand Castle,2017,Fernando Coimbra,113,5437,537,2.8,23,93,134,527,733,1283,552,297,35,49
The Painted Bird,2019,"Václav Marhoul,Directory Films",169,1609,323,3.4,20,57,50,81,127,155,198,281,164,104
Of Fathers and Sons,2017,Talal Derki,99,2847,480,3.6,1,5,11,56,94,391,592,660,167,115
Rob Roy,1995,Michael Caton-Jones,139,7860,870,3.2,12,51,55,292,383,1129,962,692,139,94
Diamonds of the Night,1964,Jan Němec,64,2537,692,3.8,8,9,11,37,64,199,321,559,267,217
The Puppetmaster,1993,Hou Hsiao-hsien,142,1934,356,3.8,3,15,13,49,45,116,180,232,152,173
Captain America,1990,Albert Pyun,97,6538,345,1.5,732,1030,493,592,228,219,69,70,8,33
A Perfect Day,2015,Fernando León de Aranoa,106,5287,929,3.4,8,29,33,190,306,948,1118,805,159,114
Megan Leavey,2017,Gabriela Cowperthwaite,116,4902,966,3.3,12,35,46,196,368,944,903,639,121,168
Two Women,1960,Vittorio De Sica,100,3491,692,3.8,2,4,7,25,65,260,475,845,275,203
The Caine Mutiny,1954,Edward Dmytryk,124,4692,834,3.7,4,8,12,57,124,453,685,930,232,170
Act of Valor,2012,"Mike McCoy,Scott Waugh",110,8448,679,2.5,208,418,411,846,777,997,537,325,83,101
